tag,count
IBA,23
ContemporaryClassic,13
Classic,9
Alcoholic,6
Brunch,3
Beach,3
Citrus,2
Hangover,2
Dairy,2
Sour,2
StrongFlavor,2
Asia,2
Expensive,1
Mild,1
Vegan,1
USA,1
Vegetarian,1
Strong,1
Christmas,1
Savory,1
DinnerParty,1
Summer,1
Chilli,1
Nutty,1
Cold,1
Fruity,1
Breakfast,1
NewEra,1
